participant_id,group,task,week,evidence_quality_score,time_minutes,error_count
P001,Light-assisted workflow,Literature mapping,0,74.08,52.07,5
P001,Light-assisted workflow,Literature mapping,1,82.26,69.3,4
P001,Light-assisted workflow,Literature mapping,2,79.19,68.79,3
P001,Light-assisted workflow,Literature mapping,3,85.21,69.97,3
P001,Light-assisted workflow,Literature mapping,4,92.23,49.81,2
P001,Light-assisted workflow,Experiment reproduction,0,67.36,79.03,2
P001,Light-assisted workflow,Experiment reproduction,1,78.86,92.82,4
P001,Light-assisted workflow,Experiment reproduction,2,75.04,82.3,3
P001,Light-assisted workflow,Experiment reproduction,3,81.99,76.62,1
P001,Light-assisted workflow,Experiment reproduction,4,80.96,75.93,2
P001,Light-assisted workflow,Paper argumentation,0,62.82,81.51,3
P001,Light-assisted workflow,Paper argumentation,1,72.23,76.32,4
P001,Light-assisted workflow,Paper argumentation,2,76.34,85.42,4
P001,Light-assisted workflow,Paper argumentation,3,74.92,68.71,5
P001,Light-assisted workflow,Paper argumentation,4,80.7,78.36,3
P002,Baseline workflow,Literature mapping,0,50.1,72.74,4
P002,Baseline workflow,Literature mapping,1,53.38,79.88,4
P002,Baseline workflow,Literature mapping,2,62.79,66.16,6
P002,Baseline workflow,Literature mapping,3,59.55,55.78,3
P002,Baseline workflow,Literature mapping,4,68.36,58.8,4
P002,Baseline workflow,Experiment reproduction,0,42.57,90.82,1
P002,Baseline workflow,Experiment reproduction,1,49.12,101.87,2
P002,Baseline workflow,Experiment reproduction,2,43.47,78.81,2
P002,Baseline workflow,Experiment reproduction,3,59.09,92.78,7
P002,Baseline workflow,Experiment reproduction,4,57.56,72.66,3
P002,Baseline workflow,Paper argumentation,0,43.82,95.45,7
P002,Baseline workflow,Paper argumentation,1,47.18,91.48,3
P002,Baseline workflow,Paper argumentation,2,52.09,74.79,6
P002,Baseline workflow,Paper argumentation,3,60.29,84.65,8
P002,Baseline workflow,Paper argumentation,4,58.74,65.07,1
P003,Light-assisted workflow,Literature mapping,0,39.93,78.76,3
P003,Light-assisted workflow,Literature mapping,1,46.36,69.98,3
P003,Light-assisted workflow,Literature mapping,2,52.33,65.38,3
P003,Light-assisted workflow,Literature mapping,3,65.99,62.31,2
P003,Light-assisted workflow,Literature mapping,4,61.15,53.89,4
P003,Light-assisted workflow,Experiment reproduction,0,35.0,102.58,3
P003,Light-assisted workflow,Experiment reproduction,1,35.0,91.5,4
P003,Light-assisted workflow,Experiment reproduction,2,47.29,88.51,2
P003,Light-assisted workflow,Experiment reproduction,3,38.34,79.95,0
P003,Light-assisted workflow,Experiment reproduction,4,57.19,78.39,1
P003,Light-assisted workflow,Paper argumentation,0,35.0,93.71,5
P003,Light-assisted workflow,Paper argumentation,1,39.64,86.43,2
P003,Light-assisted workflow,Paper argumentation,2,50.38,76.08,1
P003,Light-assisted workflow,Paper argumentation,3,58.47,83.18,2
P003,Light-assisted workflow,Paper argumentation,4,66.85,61.45,4
P004,Light-assisted workflow,Literature mapping,0,50.26,88.65,3
P004,Light-assisted workflow,Literature mapping,1,53.02,73.05,3
P004,Light-assisted workflow,Literature mapping,2,71.95,62.37,1
P004,Light-assisted workflow,Literature mapping,3,68.33,49.31,3
P004,Light-assisted workflow,Literature mapping,4,76.25,61.61,2
P004,Light-assisted workflow,Experiment reproduction,0,49.39,88.16,4
P004,Light-assisted workflow,Experiment reproduction,1,55.79,88.85,7
P004,Light-assisted workflow,Experiment reproduction,2,64.58,75.67,7
P004,Light-assisted workflow,Experiment reproduction,3,66.14,92.24,3
P004,Light-assisted workflow,Experiment reproduction,4,62.17,68.41,5
P004,Light-assisted workflow,Paper argumentation,0,47.15,81.56,1
P004,Light-assisted workflow,Paper argumentation,1,54.66,91.32,5
P004,Light-assisted workflow,Paper argumentation,2,54.93,83.83,3
P004,Light-assisted workflow,Paper argumentation,3,56.33,67.26,2
P004,Light-assisted workflow,Paper argumentation,4,64.97,71.2,1
P005,Baseline workflow,Literature mapping,0,51.56,64.97,5
P005,Baseline workflow,Literature mapping,1,59.35,75.09,4
P005,Baseline workflow,Literature mapping,2,54.04,62.71,3
P005,Baseline workflow,Literature mapping,3,57.75,62.65,3
P005,Baseline workflow,Literature mapping,4,60.97,71.03,4
P005,Baseline workflow,Experiment reproduction,0,50.59,100.53,7
P005,Baseline workflow,Experiment reproduction,1,51.35,80.08,4
P005,Baseline workflow,Experiment reproduction,2,56.02,95.04,3
P005,Baseline workflow,Experiment reproduction,3,59.01,89.86,5
P005,Baseline workflow,Experiment reproduction,4,62.29,72.21,2
P005,Baseline workflow,Paper argumentation,0,52.26,84.04,4
P005,Baseline workflow,Paper argumentation,1,59.41,81.47,2
P005,Baseline workflow,Paper argumentation,2,55.75,78.83,3
P005,Baseline workflow,Paper argumentation,3,67.41,86.73,6
P005,Baseline workflow,Paper argumentation,4,67.4,79.09,2
P006,Light-assisted workflow,Literature mapping,0,66.57,74.45,5
P006,Light-assisted workflow,Literature mapping,1,63.16,59.31,3
P006,Light-assisted workflow,Literature mapping,2,78.72,58.24,2
P006,Light-assisted workflow,Literature mapping,3,86.39,48.89,2
P006,Light-assisted workflow,Literature mapping,4,89.09,64.23,1
P006,Light-assisted workflow,Experiment reproduction,0,52.98,81.28,4
P006,Light-assisted workflow,Experiment reproduction,1,56.27,99.57,5
P006,Light-assisted workflow,Experiment reproduction,2,60.61,81.47,0
P006,Light-assisted workflow,Experiment reproduction,3,71.09,61.54,2
P006,Light-assisted workflow,Experiment reproduction,4,77.87,78.04,2
P006,Light-assisted workflow,Paper argumentation,0,63.76,82.25,1
P006,Light-assisted workflow,Paper argumentation,1,63.67,69.37,6
P006,Light-assisted workflow,Paper argumentation,2,71.4,68.16,2
P006,Light-assisted workflow,Paper argumentation,3,75.87,61.92,3
P006,Light-assisted workflow,Paper argumentation,4,79.39,65.96,2
P007,Light-assisted workflow,Literature mapping,0,71.98,79.55,6
P007,Light-assisted workflow,Literature mapping,1,79.11,74.94,2
P007,Light-assisted workflow,Literature mapping,2,72.91,63.19,3
P007,Light-assisted workflow,Literature mapping,3,90.99,53.26,4
P007,Light-assisted workflow,Literature mapping,4,88.75,53.18,2
P007,Light-assisted workflow,Experiment reproduction,0,69.71,85.83,2
P007,Light-assisted workflow,Experiment reproduction,1,68.47,86.5,1
P007,Light-assisted workflow,Experiment reproduction,2,80.64,87.09,3
P007,Light-assisted workflow,Experiment reproduction,3,85.59,81.49,5
P007,Light-assisted workflow,Experiment reproduction,4,78.76,90.47,2
P007,Light-assisted workflow,Paper argumentation,0,60.51,86.58,5
P007,Light-assisted workflow,Paper argumentation,1,69.42,74.18,2
P007,Light-assisted workflow,Paper argumentation,2,69.21,70.34,1
P007,Light-assisted workflow,Paper argumentation,3,77.89,83.26,0
P007,Light-assisted workflow,Paper argumentation,4,88.57,49.61,0
P008,Light-assisted workflow,Literature mapping,0,53.09,80.05,0
P008,Light-assisted workflow,Literature mapping,1,58.06,69.14,6
P008,Light-assisted workflow,Literature mapping,2,71.0,67.97,2
P008,Light-assisted workflow,Literature mapping,3,71.09,73.8,1
P008,Light-assisted workflow,Literature mapping,4,77.74,49.51,0
P008,Light-assisted workflow,Experiment reproduction,0,55.19,90.97,5
P008,Light-assisted workflow,Experiment reproduction,1,56.44,89.85,4
P008,Light-assisted workflow,Experiment reproduction,2,63.98,82.18,1
P008,Light-assisted workflow,Experiment reproduction,3,65.4,72.31,3
P008,Light-assisted workflow,Experiment reproduction,4,67.62,74.9,3
P008,Light-assisted workflow,Paper argumentation,0,63.83,83.03,1
P008,Light-assisted workflow,Paper argumentation,1,64.25,93.74,4
P008,Light-assisted workflow,Paper argumentation,2,63.87,69.79,3
P008,Light-assisted workflow,Paper argumentation,3,64.67,81.54,2
P008,Light-assisted workflow,Paper argumentation,4,70.17,76.47,2
P009,Baseline workflow,Literature mapping,0,62.46,83.81,4
P009,Baseline workflow,Literature mapping,1,64.26,71.94,7
P009,Baseline workflow,Literature mapping,2,68.39,64.92,2
P009,Baseline workflow,Literature mapping,3,74.78,71.38,1
P009,Baseline workflow,Literature mapping,4,86.37,61.01,1
P009,Baseline workflow,Experiment reproduction,0,57.08,92.42,6
P009,Baseline workflow,Experiment reproduction,1,62.7,93.21,2
P009,Baseline workflow,Experiment reproduction,2,66.23,87.57,1
P009,Baseline workflow,Experiment reproduction,3,71.14,90.87,7
P009,Baseline workflow,Experiment reproduction,4,73.74,67.86,2
P009,Baseline workflow,Paper argumentation,0,61.55,77.94,3
P009,Baseline workflow,Paper argumentation,1,62.81,77.03,4
P009,Baseline workflow,Paper argumentation,2,63.99,79.43,3
P009,Baseline workflow,Paper argumentation,3,70.46,68.31,1
P009,Baseline workflow,Paper argumentation,4,73.38,79.63,4
P010,Baseline workflow,Literature mapping,0,54.41,75.09,2
P010,Baseline workflow,Literature mapping,1,53.46,69.89,7
P010,Baseline workflow,Literature mapping,2,55.65,67.2,3
P010,Baseline workflow,Literature mapping,3,63.99,61.9,2
P010,Baseline workflow,Literature mapping,4,72.62,49.51,2
P010,Baseline workflow,Experiment reproduction,0,49.53,94.17,3
P010,Baseline workflow,Experiment reproduction,1,45.52,99.84,3
P010,Baseline workflow,Experiment reproduction,2,58.3,90.58,6
P010,Baseline workflow,Experiment reproduction,3,58.46,75.23,3
P010,Baseline workflow,Experiment reproduction,4,66.65,82.11,3
P010,Baseline workflow,Paper argumentation,0,52.13,85.71,5
P010,Baseline workflow,Paper argumentation,1,49.05,88.77,3
P010,Baseline workflow,Paper argumentation,2,54.89,87.51,4
P010,Baseline workflow,Paper argumentation,3,61.57,72.49,4
P010,Baseline workflow,Paper argumentation,4,70.19,65.16,2
P011,Baseline workflow,Literature mapping,0,65.1,65.81,1
P011,Baseline workflow,Literature mapping,1,60.38,72.58,3
P011,Baseline workflow,Literature mapping,2,68.24,78.98,3
P011,Baseline workflow,Literature mapping,3,74.21,77.26,1
P011,Baseline workflow,Literature mapping,4,79.02,56.86,2
P011,Baseline workflow,Experiment reproduction,0,56.13,84.81,6
