condition_id,catalyst,loading_g_L,pH,irradiance_mW_cm2,scavenger,k_true_min-1
C001,TiO2,0.25,4.0,55,none,0.0081
C002,TiO2,0.25,4.0,80,none,0.00881
C003,TiO2,0.25,4.0,105,none,0.00952
C004,TiO2,0.25,5.5,55,none,0.00933
C005,TiO2,0.25,5.5,80,none,0.01014
C006,TiO2,0.25,5.5,105,none,0.01096
C007,TiO2,0.25,7.0,55,none,0.00957
C008,TiO2,0.25,7.0,80,none,0.01041
C009,TiO2,0.25,7.0,105,none,0.01124
C010,TiO2,0.25,8.5,55,none,0.00854
C011,TiO2,0.25,8.5,80,none,0.00928
C012,TiO2,0.25,8.5,105,none,0.01003
C013,TiO2,0.5,4.0,55,none,0.00973
C014,TiO2,0.5,4.0,80,none,0.01058
C015,TiO2,0.5,4.0,105,none,0.01143
C016,TiO2,0.5,5.5,55,none,0.0112
C017,TiO2,0.5,5.5,80,none,0.01218
C018,TiO2,0.5,5.5,105,none,0.01316
C019,TiO2,0.5,7.0,55,none,0.0115
C020,TiO2,0.5,7.0,80,none,0.0125
C021,TiO2,0.5,7.0,105,none,0.01351
C022,TiO2,0.5,8.5,55,none,0.01025
C023,TiO2,0.5,8.5,80,none,0.01115
C024,TiO2,0.5,8.5,105,none,0.01205
C025,TiO2,0.75,4.0,55,none,0.01074
C026,TiO2,0.75,4.0,80,none,0.01168
C027,TiO2,0.75,4.0,105,none,0.01262
C028,TiO2,0.75,5.5,55,none,0.01237
C029,TiO2,0.75,5.5,80,none,0.01345
C030,TiO2,0.75,5.5,105,none,0.01453
C031,TiO2,0.75,7.0,55,none,0.01269
C032,TiO2,0.75,7.0,80,none,0.0138
C033,TiO2,0.75,7.0,105,none,0.01491
C034,TiO2,0.75,8.5,55,none,0.01132
C035,TiO2,0.75,8.5,80,none,0.01231
C036,TiO2,0.75,8.5,105,none,0.0133
C037,TiO2,1.0,4.0,55,none,0.01009
C038,TiO2,1.0,4.0,80,none,0.01097
C039,TiO2,1.0,4.0,105,none,0.01185
C040,TiO2,1.0,5.5,55,none,0.01162
C041,TiO2,1.0,5.5,80,none,0.01263
C042,TiO2,1.0,5.5,105,none,0.01365
C043,TiO2,1.0,7.0,55,none,0.01192
C044,TiO2,1.0,7.0,80,none,0.01296
C045,TiO2,1.0,7.0,105,none,0.01401
C046,TiO2,1.0,8.5,55,none,0.01063
C047,TiO2,1.0,8.5,80,none,0.01156
C048,TiO2,1.0,8.5,105,none,0.01249
C049,TiO2,1.25,4.0,55,none,0.00847
C050,TiO2,1.25,4.0,80,none,0.00921
C051,TiO2,1.25,4.0,105,none,0.00995
C052,TiO2,1.25,5.5,55,none,0.00975
C053,TiO2,1.25,5.5,80,none,0.0106
C054,TiO2,1.25,5.5,105,none,0.01145
C055,TiO2,1.25,7.0,55,none,0.01001
C056,TiO2,1.25,7.0,80,none,0.01088
C057,TiO2,1.25,7.0,105,none,0.01175
C058,TiO2,1.25,8.5,55,none,0.00892
C059,TiO2,1.25,8.5,80,none,0.0097
C060,TiO2,1.25,8.5,105,none,0.01048
C061,N-TiO2,0.25,4.0,55,none,0.0135
C062,N-TiO2,0.25,4.0,80,none,0.01468
C063,N-TiO2,0.25,4.0,105,none,0.01586
C064,N-TiO2,0.25,5.5,55,none,0.01554
C065,N-TiO2,0.25,5.5,80,none,0.0169
C066,N-TiO2,0.25,5.5,105,none,0.01826
C067,N-TiO2,0.25,7.0,55,none,0.01595
C068,N-TiO2,0.25,7.0,80,none,0.01735
C069,N-TiO2,0.25,7.0,105,none,0.01874
C070,N-TiO2,0.25,8.5,55,none,0.01423
C071,N-TiO2,0.25,8.5,80,none,0.01547
C072,N-TiO2,0.25,8.5,105,none,0.01671
C073,N-TiO2,0.5,4.0,55,none,0.01622
C074,N-TiO2,0.5,4.0,80,none,0.01764
C075,N-TiO2,0.5,4.0,105,none,0.01905
C076,N-TiO2,0.5,5.5,55,none,0.01867
C077,N-TiO2,0.5,5.5,80,none,0.02031
C078,N-TiO2,0.5,5.5,105,none,0.02194
C079,N-TiO2,0.5,7.0,55,none,0.01917
C080,N-TiO2,0.5,7.0,80,none,0.02084
C081,N-TiO2,0.5,7.0,105,none,0.02251
C082,N-TiO2,0.5,8.5,55,none,0.01709
C083,N-TiO2,0.5,8.5,80,none,0.01858
C084,N-TiO2,0.5,8.5,105,none,0.02008
C085,N-TiO2,0.75,4.0,55,none,0.01791
C086,N-TiO2,0.75,4.0,80,none,0.01947
C087,N-TiO2,0.75,4.0,105,none,0.02103
C088,N-TiO2,0.75,5.5,55,none,0.02061
C089,N-TiO2,0.75,5.5,80,none,0.02241
C090,N-TiO2,0.75,5.5,105,none,0.02421
C091,N-TiO2,0.75,7.0,55,none,0.02116
C092,N-TiO2,0.75,7.0,80,none,0.023
C093,N-TiO2,0.75,7.0,105,none,0.02485
C094,N-TiO2,0.75,8.5,55,none,0.01887
C095,N-TiO2,0.75,8.5,80,none,0.02051
C096,N-TiO2,0.75,8.5,105,none,0.02216
C097,N-TiO2,1.0,4.0,55,none,0.01682
C098,N-TiO2,1.0,4.0,80,none,0.01829
C099,N-TiO2,1.0,4.0,105,none,0.01976
C100,N-TiO2,1.0,5.5,55,none,0.01936
C101,N-TiO2,1.0,5.5,80,none,0.02105
C102,N-TiO2,1.0,5.5,105,none,0.02274
C103,N-TiO2,1.0,7.0,55,none,0.01987
C104,N-TiO2,1.0,7.0,80,none,0.02161
C105,N-TiO2,1.0,7.0,105,none,0.02334
C106,N-TiO2,1.0,8.5,55,none,0.01772
C107,N-TiO2,1.0,8.5,80,none,0.01927
C108,N-TiO2,1.0,8.5,105,none,0.02082
C109,N-TiO2,1.25,4.0,55,none,0.01411
C110,N-TiO2,1.25,4.0,80,none,0.01535
C111,N-TiO2,1.25,4.0,105,none,0.01658
C112,N-TiO2,1.25,5.5,55,none,0.01625
C113,N-TiO2,1.25,5.5,80,none,0.01767
C114,N-TiO2,1.25,5.5,105,none,0.01909
C115,N-TiO2,1.25,7.0,55,none,0.01668
C116,N-TiO2,1.25,7.0,80,none,0.01813
C117,N-TiO2,1.25,7.0,105,none,0.01959
C118,N-TiO2,1.25,8.5,55,none,0.01487
C119,N-TiO2,1.25,8.5,80,none,0.01617
C120,N-TiO2,1.25,8.5,105,none,0.01747
C121,N-TiO2/H2O2,0.25,4.0,55,none,0.01813
C122,N-TiO2/H2O2,0.25,4.0,80,none,0.01971
C123,N-TiO2/H2O2,0.25,4.0,105,none,0.0213
C124,N-TiO2/H2O2,0.25,5.5,55,none,0.02087
C125,N-TiO2/H2O2,0.25,5.5,80,none,0.0227
C126,N-TiO2/H2O2,0.25,5.5,105,none,0.02452
C127,N-TiO2/H2O2,0.25,7.0,55,none,0.02142
C128,N-TiO2/H2O2,0.25,7.0,80,none,0.02329
C129,N-TiO2/H2O2,0.25,7.0,105,none,0.02516
C130,N-TiO2/H2O2,0.25,8.5,55,none,0.0191
C131,N-TiO2/H2O2,0.25,8.5,80,none,0.02077
C132,N-TiO2/H2O2,0.25,8.5,105,none,0.02244
C133,N-TiO2/H2O2,0.5,4.0,55,none,0.02178
C134,N-TiO2/H2O2,0.5,4.0,80,none,0.02368
C135,N-TiO2/H2O2,0.5,4.0,105,none,0.02559
C136,N-TiO2/H2O2,0.5,5.5,55,none,0.02508
C137,N-TiO2/H2O2,0.5,5.5,80,none,0.02727
C138,N-TiO2/H2O2,0.5,5.5,105,none,0.02946
C139,N-TiO2/H2O2,0.5,7.0,55,none,0.02574
C140,N-TiO2/H2O2,0.5,7.0,80,none,0.02798
C141,N-TiO2/H2O2,0.5,7.0,105,none,0.03023
C142,N-TiO2/H2O2,0.5,8.5,55,none,0.02295
C143,N-TiO2/H2O2,0.5,8.5,80,none,0.02496
C144,N-TiO2/H2O2,0.5,8.5,105,none,0.02696
C145,N-TiO2/H2O2,0.75,4.0,55,none,0.02404
C146,N-TiO2/H2O2,0.75,4.0,80,none,0.02614
C147,N-TiO2/H2O2,0.75,4.0,105,none,0.02824
C148,N-TiO2/H2O2,0.75,5.5,55,none,0.02768
C149,N-TiO2/H2O2,0.75,5.5,80,none,0.0301
C150,N-TiO2/H2O2,0.75,5.5,105,none,0.03252
C151,N-TiO2/H2O2,0.75,7.0,55,none,0.02841
C152,N-TiO2/H2O2,0.75,7.0,80,none,0.03089
C153,N-TiO2/H2O2,0.75,7.0,105,none,0.03337
C154,N-TiO2/H2O2,0.75,8.5,55,none,0.02533
C155,N-TiO2/H2O2,0.75,8.5,80,none,0.02755
C156,N-TiO2/H2O2,0.75,8.5,105,none,0.02976
C157,N-TiO2/H2O2,1.0,4.0,55,none,0.02258
C158,N-TiO2/H2O2,1.0,4.0,80,none,0.02456
C159,N-TiO2/H2O2,1.0,4.0,105,none,0.02653
C160,N-TiO2/H2O2,1.0,5.5,55,none,0.026
C161,N-TiO2/H2O2,1.0,5.5,80,none,0.02827
C162,N-TiO2/H2O2,1.0,5.5,105,none,0.03054
C163,N-TiO2/H2O2,1.0,7.0,55,none,0.02668
C164,N-TiO2/H2O2,1.0,7.0,80,none,0.02902
C165,N-TiO2/H2O2,1.0,7.0,105,none,0.03135
C166,N-TiO2/H2O2,1.0,8.5,55,none,0.0238
C167,N-TiO2/H2O2,1.0,8.5,80,none,0.02587
C168,N-TiO2/H2O2,1.0,8.5,105,none,0.02795
C169,N-TiO2/H2O2,1.25,4.0,55,none,0.01895
C170,N-TiO2/H2O2,1.25,4.0,80,none,0.02061
C171,N-TiO2/H2O2,1.25,4.0,105,none,0.02226
C172,N-TiO2/H2O2,1.25,5.5,55,none,0.02182
C173,N-TiO2/H2O2,1.25,5.5,80,none,0.02373
C174,N-TiO2/H2O2,1.25,5.5,105,none,0.02563
C175,N-TiO2/H2O2,1.25,7.0,55,none,0.02239
C176,N-TiO2/H2O2,1.25,7.0,80,none,0.02435
C177,N-TiO2/H2O2,1.25,7.0,105,none,0.02631
C178,N-TiO2/H2O2,1.25,8.5,55,none,0.01997
C179,N-TiO2/H2O2,1.25,8.5,80,none,0.02171
C180,N-TiO2/H2O2,1.25,8.5,105,none,0.02346
C181,N-TiO2/H2O2,0.75,7.0,105,IPA,0.01936
C182,N-TiO2/H2O2,0.75,7.0,105,BQ,0.02336
C183,N-TiO2/H2O2,0.75,7.0,105,EDTA,0.02736
