condition_id,catalyst,loading_g_L,pH,irradiance_mW_cm2,scavenger,replicate,time_min,C_over_C0,absorbance_664nm
C001,TiO2,0.25,4.0,55,none,1,0,1.00983,1.06673
C001,TiO2,0.25,4.0,55,none,1,5,0.95569,1.00075
C001,TiO2,0.25,4.0,55,none,1,10,0.90414,0.95707
C001,TiO2,0.25,4.0,55,none,1,20,0.8566,0.90227
C001,TiO2,0.25,4.0,55,none,1,30,0.78747,0.8254
C001,TiO2,0.25,4.0,55,none,1,45,0.66173,0.69923
C001,TiO2,0.25,4.0,55,none,1,60,0.59183,0.63027
C001,TiO2,0.25,4.0,55,none,1,90,0.50662,0.53181
C001,TiO2,0.25,4.0,55,none,1,120,0.34927,0.35689
C001,TiO2,0.25,4.0,55,none,2,0,1.03405,1.08564
C001,TiO2,0.25,4.0,55,none,2,5,0.98811,1.04007
C001,TiO2,0.25,4.0,55,none,2,10,0.94849,0.99909
C001,TiO2,0.25,4.0,55,none,2,20,0.82442,0.86761
C001,TiO2,0.25,4.0,55,none,2,30,0.83031,0.8751
C001,TiO2,0.25,4.0,55,none,2,45,0.7308,0.75512
C001,TiO2,0.25,4.0,55,none,2,60,0.64268,0.66275
C001,TiO2,0.25,4.0,55,none,2,90,0.47923,0.50564
C001,TiO2,0.25,4.0,55,none,2,120,0.41004,0.42499
C001,TiO2,0.25,4.0,55,none,3,0,1.02383,1.09392
C001,TiO2,0.25,4.0,55,none,3,5,1.03113,1.08257
C001,TiO2,0.25,4.0,55,none,3,10,0.96297,1.00602
C001,TiO2,0.25,4.0,55,none,3,20,0.88792,0.92316
C001,TiO2,0.25,4.0,55,none,3,30,0.8414,0.8862
C001,TiO2,0.25,4.0,55,none,3,45,0.68809,0.72989
C001,TiO2,0.25,4.0,55,none,3,60,0.63733,0.67158
C001,TiO2,0.25,4.0,55,none,3,90,0.50091,0.52622
C001,TiO2,0.25,4.0,55,none,3,120,0.41332,0.43092
C002,TiO2,0.25,4.0,80,none,1,0,1.01731,1.06314
C002,TiO2,0.25,4.0,80,none,1,5,0.96148,1.01358
C002,TiO2,0.25,4.0,80,none,1,10,0.9258,0.98675
C002,TiO2,0.25,4.0,80,none,1,20,0.85198,0.87278
C002,TiO2,0.25,4.0,80,none,1,30,0.78474,0.81108
C002,TiO2,0.25,4.0,80,none,1,45,0.71183,0.73034
C002,TiO2,0.25,4.0,80,none,1,60,0.59105,0.60945
C002,TiO2,0.25,4.0,80,none,1,90,0.45627,0.47396
C002,TiO2,0.25,4.0,80,none,1,120,0.37611,0.38426
C002,TiO2,0.25,4.0,80,none,2,0,1.02109,1.07172
C002,TiO2,0.25,4.0,80,none,2,5,0.95295,1.00484
C002,TiO2,0.25,4.0,80,none,2,10,0.91677,0.96171
C002,TiO2,0.25,4.0,80,none,2,20,0.84696,0.88464
C002,TiO2,0.25,4.0,80,none,2,30,0.76959,0.81013
C002,TiO2,0.25,4.0,80,none,2,45,0.69961,0.72757
C002,TiO2,0.25,4.0,80,none,2,60,0.59764,0.61905
C002,TiO2,0.25,4.0,80,none,2,90,0.44821,0.46772
C002,TiO2,0.25,4.0,80,none,2,120,0.38551,0.404
C002,TiO2,0.25,4.0,80,none,3,0,1.02032,1.08691
C002,TiO2,0.25,4.0,80,none,3,5,0.98093,1.03029
C002,TiO2,0.25,4.0,80,none,3,10,0.93624,0.97987
C002,TiO2,0.25,4.0,80,none,3,20,0.83135,0.86775
C002,TiO2,0.25,4.0,80,none,3,30,0.76962,0.81213
